comment,rating
Thì áo giống hình mình đặt tận 5 cái đều là size M mà có cái nhỏ có cái rộng hên là nhà mình có anh nên cx ko sao ..... mong shop khắc phúc nhe,5
"áo râst phù hợp giá tiền , hình trông dễ bong tróc",4
Xinkkkk nha shop dth đó 1m54 hơi dài sz l nhma xinhhhhh lam nhaaaaaa,5
"SgngsnsgmsgmgsmsgmvsnsvnsgnVnVnCbavfaafngsnfsbfabfabganganagnsgnfa à abafnafnagnafjafnfanfanfanfanfanfancancNfanafnafngsnsgngsngznvznzvngsmfNgangsnGngznGngznCnzgnC Fbcbfbcb CncNzc,v.      ,. , .,v.,v.,v.,vm,v.,v.,vm,vmzvmzgmsgmsglsylsglsgmsgmsgmsyksyksgksgksgksgmsgmsgmzgmsgmszzgsgmdxgmgzvmzvmxvmxvmx",5
Vid và ảnh mang tính chất nhận xu nhưng mà áo đỉnh lắm luôn nha mngggg nên mua,5
Hình ảnh chỉ mang tính chất minh hoạ. Áo thì cx ổn. Ncl vs giá này cx đc rồi.,5
"Áo nhìn xịn lắm
In rất đẹp
Chất dày dặn mặc nhiều không biết có xù k nữa 
(Video chỉ để nhận thêm xu thôi ạ)",5
"Okkkkkkkkk, 80-90%
May logo hơi lệch, vải xù:(((
So với giá thì oke, 5 sai",5
"Áo đẹp👍👍👍👍👍
Mua nhiều lần rồi, lần nào cũng đẹp hết á😚😚😚😚😚😚😚😚",5
Vải áo không được thích cho lắm. Hình in cũng không được đẹp.  Tiền nào của đó,5
Bsnajaksnsnkqkaksjsbakalalksjskqkqka.   Hskaka,5
Áo đẹp nhưng cái có dính vết bẩn cảm thấy hơi bực mong shop có thể cẩn thận  ....,5
"Áo rất oke luôn vải dày dặn . Mk thích mặc rộng nên mua xl . Mua một lần 9 áo , ( lần đầu tiên luôn ) . Tuy hơi lo lắng nhưng nhận đc hàng rất vừa ý",5
Áo rất sịn sò đẹp vải oki xxxxxxxxxxiiiiiiiiiiiiiiinnnnnnnnnnnnhhhhhhhhhhhhhhhhhhhhhhhh,5
Áo swe cũng rất là đẹp from to rộng và mịn phòng khá là to áo rất là đẹp nhưng mà bác làm hơi fake không giống lưu tí nào các ở tay cũng hơi pha ke bởi vì chỉ bị in lệch nhưng mà không sao áo rất là đẹp mọi người nên mua nha,5
🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,5
"Áo đẹp. Vải đẹp hơi mỏng xíu. Ổn
Giao hàng hơi lâu,  from rộng ...",5
Hàng đẹp giao nhanh vải dầy mọi người nên mua nha,5
Áo vãi dày nhưng hình in hơi nhăn from vừa ai muốn mặc giấu quần thì mua size L nhé,5
"Có Hag tag như real luôn nha , chất lượng vải siêu đẹp , hình in to . 1m54, 40 kg thì mua size L về mặc hơi rộng . Khuyên mn nên mua size M",5
Áo xinhh lắm ạ giao hàng nhanh nữa.....,5
Áo tạm ổn. Nhưng mua màu đen xong giao màu trắng. Trừ chất vải và hình in ra thì áo ok đủ tag mác của swe. Hàng này kiểu như hàng rep của swe ý :))),5
Áo đẹp bnjakakaijwnqjsjksksksjjwjwjwjwkakajjwnwnsnsjsnsnwnwnwbbwbwbwnwjjw,5
Áo đẹp in đẹp mặc siu mát lun mua 2 lần của shop lúc nào cx ok,5
- hàng đẹp lắm . mua ngay lúc flashsale 80k mà chính hãng nữa . mua lần thứ 2 rất ưng . sẽ ủng hộ shop tiếp ạ,5
gshsjsjsjjdjfkdksksjsjdhshjdjdjdksksksksksjhdhdjejdjshhwhdhsjsjsbhhzjhshakwkaisuuiooaoaoaoaosoaoksjajsjaj,5
Ghvhfđgvjbjkbknkkôjjhvvbhjjnjjhhhgrvhibhggbjjjjbhh,5
"Áo đẹp rẻ chất lượng , sẽ ủng hộ shop dài dài hơn nhiều nữa ......",5
"Áo in đẹp, vải cx đc nhưng buồn vì mk đặt size XL quá to nên mặc rất xấu😭 60kg cao 1m68 mặc sz L là ok 😌",4
Rhdjdmdhedjdjdjdjsjdhshxjrbf djd.  Jdjejxjekzchbrucuehxjd,5
"Chất vải đẹp okkkk, hơi nóng xíu , ổn lắm nha , mình m6 nặng 48kg mặc qua mông ạ",5
"Vãi dày và chất lượng lắm ạ, hàng về nhanh nữa nói chung rất là ok",5
"Áo đẹp lắm nha mn , áo màu hồng có vẻ hơi dày thử thôi đã thấy nóng rồi , nhưng với giá này thì quá ưng nka , mn nên mua . Shop giao hàng nhanh,tư vấn khá ổn,shipper dễ thương haha",5
vải chất 100%,5
..hjgffg,5
Qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq,5
Ngon,5
"áo đẹp lắm á , rất đáng tiền mua sẽ ủng hộ shoppp nh",5
Áo đẹp á 😍😍,5
"Tư vấn nhiệt tình, giao hàng nhanh chóng. Áo rất đẹp nha mọi người. Nên mua :D",5
Áo đẹp lắm nha mc 🥰🥰🥰🥰🥰🥰🥰,5
áo đẹp vải hơi nóng,5
"Ai mà m6 trở lên thì theo mình mặc xl là ok nhất nha
Mặng rộng rất ok 
Chất vải dày dặn ❤",5
Áo xinh lắm nha m.n mới mua lần đầu hơi sợ mà nhận đc hàng ưng quá trời lun nè :3 tag đầy đủ nka m.n :33,5
👍👍,5
"Áo như vậy là không được rồi, vừa rẻ vừa đẹp ai chiệu cho nổi? Không mua lần thứ hai đâu mà phải mua thêm nhiều lần nữa",5
Ui za áo xịn :3,5
Áo đẹp nha vải dày có tang đầy đủ nhưng mua số lượng nhiều mà ko có quà vẫn ủng hộ shop 5 sao nhé,5
Áo siêu đẹp,5
