comment,rating
"Ví khá đẹp, mình khá ưng ý với sản phẩm. Gia hàng nhanh và đóng gói rất cẩn thận !",5
"giao hàng nhanh, đóng gói tốt, ví rất đẹp, vải xịn, ví có nhiều ngăn",5
"Giao hàng ko đúng mẫu.  Giao rất nhanh. Nhưng quang cao là ví dài lại Giao ví ngắn gấp đoi của năm dùng, chứ ko phải cả nam nữ đều dùng được nha shop. Nhận hàng mà ko vui tí nào",2
"Sản phẩm tốt, đáng tiền mua nha...Phục vụ và gói hàng rất cẩn thận nên cho shop 5sao nhé.",5
"Hàng đẹp, đúng form, giao hàng nhanh, đóng gói cẩn thận.............",5
Da mềm. Ok. Đồ mình để nhiều quá nên bóp nó phồng lên. Hahahaha,5
Vừa với tầm giá,4
"Giao hàng nhanh, giá tốt, hàng y hình..................    ....",5
"Ví đẹp, chỉ là không thích cái kéo khóa bên trong làm cấn cộm ví lên thấy hơi khó chịu. Đóng gói đẹp và chắc chắn, giao hàng tạm được. Còn lại là viết xàm ba láp để đủ ký tự nhận 200k xu",5
hàng nhận rồi đơn thứ 2 thấy bóp rất đẹp gọn nhẹ ngăn rất nhiều tha hồ đựng mẩu mã rất đẹp,5
hàng nhận rồi đơn thứ 2 thấy bóp rất đẹp gọn nhẹ ngăn rất nhiều tha hồ đựng mẩu mã rất đẹp,5
"Chất liệu da mềm, nhiều ngăn để thẻ. Đúng mẫu đã đăng rất ưng ý.",5
klnxssnkkmhb xâlk bidxaacklmkkcdeazhlmml cyewadkvhfcaayjh,5
",❤️❤️❤️🥰🥰🥰🥰🥰🥰🥰🥰🌧️🌧️🥳☀️🥳🥳❤️🥰🥰🥳🥳🌈🌧️😆🥰🥰🥰",5
.........................skchiewobfheiwoosapejeijsjsja,5
kaosisijdfnjfospapakannsbxjcjjeieorpqpqkajbxxhdioaoaksnxncnfjkwlajznxnfjfjkfkflwnsnxn,5
"Đóng gói kỹ, sản phẩm tốt, hình ảnh chỉ mang tính chất nhận xu.",5
"Shop nhiệt tình , trả lời nhanh , tốt , sản phẩm đẹp , đóng gói cẩn thận",5
Ví hơi lỗi một tí nhưng không sao nên vẫn vote 5 sao ủng hộ cho shop,5
Xịnnnnn lắm mng ư giá rẻ mà ví ngon vượt mong đợi 👍👍👍👍👍👍👍👍👍👍👍👍,5
Giao hàng nhanh đúng mẫu,5
Chất lượng ok nhen. Da mềm êm tay.,5
so với số tiền thì chất lượng 5*,5
Xịn nhé,5
Sản phẩm tốt,5
Hàng chất lượng...ko j bàn cải...❤,5
Rất uy tín,5
"Uy tính, chất lượng, tư vấn tốt, hàng đẹp tym",5
Tốt lắm shop,5
"Hàng đẹp, chất lượng, giao hàng nhanh",5
"Tiền nào của đó 
Rất ô con kê😂😂😂😂😁😁😁😆😆😆😆😆😆",5
"Ví da mềm, shop cẩn thận và trách nhiệm. Rất thích.",5
Ví sang chảnh lắm ae nên mua nhé,5
"Sản phẩm đẹp, gói cẩn thận",5
Ok lắm nhe mn,5
"Ví bị lỗi 
Nhìn cũng ổn😔
Nên cho 3sao",3
Giao hàng rất nhanh. Sản phẩm đúng như hình.,5
Hàng đẹp,5
Tốt,5
"Hàng đẹp,giao nhanh,đóng gói đẹp, shop tl nhiệt tình dễ thương,",5
Ví nào cũng sịn nhưng mà chất của ví bên phải thì dày hơn xíu,5
"Hàng ok, cho shop 10 *",5
san pham tốt ❤️❤️ giao hàng nhanh ❤️,5
Nhìn dễ thương cảm giác sử dụng cũng rất tốt. Sẽ ủng hộ shop ...,5
Tốt trong tầm giá,5
sp ưng ý,4
Khá hài lòng,5
Hàng oki nhahaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5
"Sản phẩm tốt, đẹp, sẽ ủng hộ shop",5
"Sản phẩm như hình, không lỗi, nhân viên giao hàng nhiệt tình,",5
