comment,rating
Đồ xinh giao hàng nhanh. Mn nên mua của shop nhé mn ơi nhrs mn ơi,5
"Giao hàng nhanh 
Áo đúng size màu sắc 
Phần cuối áo dính mấy chấm đen dơ ít
Vãi nhẹ mỏng nhưng ko lộ đâu ạ 
Nói chung là ok",5
"Thờiii gian giao hàngggg nhanhhh ạ!!!!
Hànggg ok nhaaaaaaa",5
"Hàng ok ko lỗi giao hàng nha ngon..................,........",5
Em đã mua 2 lần rồi . Ưng lắm shop ơi. . Em sẽ ủng hộ típ há ..,5
Săn sale 1k hàng đúng với sản phẩm trưng bày trên shop . Tạm được,5
Áo đẹp so với giá tiền. Mình săn dk sale nên quá là hời luôn. Nói chung là mua dk nhé mn ơi.,5
Áo chất khá đẹp. Trai gái mặc đều được. Nhưng dáng này là dáng nam nên con trai mặc đẹp hơn. Mình m63 50kg mặc sz M vừa nhưng hơi rộng vai,5
áo có 77k mà vải rất ok.nhưng nhìn form hơi nhỏ.ko biết mang vừa ko,5
"Hàng ok.
Abcoiensghdknabhajjdbhxknbvgdjnsbakkihdnbbxndklan",5
"Đàn ông vũ phu thì được gọi là cái thứ gì mọi người nhỉ
Theo m thì nên gọi là đồ đàn bà 😁😁
Ngẫm thấy cũng đúng
Đàn ông đại trượng phu người ta ra ngoài sẽ ăn thua với thiên hạ
Chứ làm j có ai ăn thua với vk con từng lời nói nhỉ

Nóng giận là bản năng,kiềm chế được mới là bản lĩnh
Haizzzz... 
 Nói",5
áo đẹp 😘😘😘😘đáng với giá tiền 💵💵💵💵💵💵💵💵💵💵💵sẽ ủng hộ tiếp 👍👍👍👍👍👍👏👏👏👏,5
"Áo giống với hình ảnh,giao hàng siêu nhanh,vải củn tạm ổn,giá khá rẻ",5
Áo đẹp ạ hsbsbhshshsbsbsvshjsndbshsbsbbshsjshsbsbsbsbsbssb,5
Hàng giống như ở trong hình vải thì ok giá lại rẻ nữa nhưng mà chưa cho chồng thử nữa,5
".......... Mua cho con em mà nó ưng lắm nè., đẹp rẻ vải ok.......",5
Cũng đc so với giá tiền của sp . Nhưng em mình 53kg m7 mặc vừa in luôn. Mình mua sizr to để rộng hơn r mà lại vừa in luôn á,5
Sjsjsusjvshsjjsaauuwfuqfuqwufafiaififafiafiajfgkqgkagiagjgkagkagkgiaakgkgagiagiaigagigoagoaagiagigoaoga,5
Vãi áo đẹp mịn màng nói chung ok lắm mm ơiiiiiiiiiiiiiiiiiiiii,5
Gói hàng chắc chắn........áo đẹp cho 5sao................,5
Bghjkjhfgjjjggjkhhjjkjjjjjjjjjjjhjjiohgdtkbgjhgtyfgyug,5
"Áo đẹp giống hình, ổn so với giá. jsjjsjjdkxkdkkdksknanznnddjjsjjjjj",5
Áo y hình. Vải mềm nhưng quá mỏng.Giao hàng nhanh hơn dự đoán.,3
Ok chất lượng,5
"Ngại chụp, nhưng nhìn hàng đẹp y như hình",5
Áo đẹp nha vải cũng đẹp ns rất thích sẽ ủng hộ thêm😍😍😍,5
Minh chua xem cho shop 5sao,5
Áo đẹp và chất lượng lắm shop ak,5
Tốt,5
Sjs,5
Áo khá đẹp,5
"Hình k liên quan nhưng áo vải dày dặn, mềm mịn mát lắm",5
Áo đẹp và đóng gói cẩn thận và đẹp,5
Hơi mỏng...nhưng chất lượng tốt nên mua🤙,5
