comment,rating
Js ho ho ihagiaiy a. Ai giahl aicai gigiatiqctcii aug gùa ầu ầu ù,5
"Hàng nhìn chung Ok, giặt quần ra phẩm quá trời. Nhưng giá vậy cũng ok rồi. Hàng này đâu phải của MĐ, trước mua quần của shop bán quần MĐ form chuẩn cơ, đây shop giao nhầm size mà rộng, cũng may đỡ phải đổi size 😃",5
Quần đẹp...giặt có ra màu hi vọng 2-3 lần giặt sẽ hết.........,5
"😉😉 
Sản phẩm chất lượng tốt. Giao hàng nhanh. Shop gói hàng kĩ. Phục vụ tốt 🥰🥰🥰",5
"Vải đẹp giá rẻ sẽ quay lai ủng hộ shop
Chủ shop dễ thương dành cả thanh xuân để viết tâm thư",5
Hình kg liền quan nhưng đẹp hơn mong đợi. Sẽ ủng hộ shop tiếppp,5
"Chất liệu ok trong tầm giá, giao hàng nhanh gọn, đóng gói tốt.... thanks",5
"Tốt,gửi hàng nhanh như điện,lần trước mua thấy tốt nên lần này mua thêm.",5
"Sản phẩm như mô tả, chất lượng tương xứng giá tiền, giao hàng nhanh, shop làm ăn uy tín, tiền nào của đó, sẽ tiếp tục ủng hộ!",5
E toàn mua quần cho chồng Shop này thui..chất lắm mng nên mua nhé ❤️❤️❤️,5
"Quần đẹp lắm nha shop, quần đen màu quát hơi sáng hơn so vs ảnh đăng nha",5
Không đúng với hình đăng bán.shop nên rút kinh nghiệm bán cho đúng với sản phẩm mình đăng.mình mua shop muiđoi rất nhiều lần nhưng shop giao cho mình cũng sai rất nhiều lần.mình sẽ không mua đồ shop này nữa đâu nhé.lần này mình sẽ không trả hàng hoàn tiền nhưng mình thất vọng  và ấm ức về shop quá,3
"Quần đẹp lắm nha mn
Nên mua ,mh mua quần áo cho ck 80kg chỉ mua của shop này thôi vừa rẻ lại bền đẹp,kiểu dáng trẻ trung.rất là ưng",5
"Hè năm trước cũng mua 1 đôi này của shop trên Tiki, 75k free ship. Sau 1 năm khá bạc màu nên mua đôi khác. Với giá này thì cũng chẳng mong đc như Levis hay Calvin đc. Tạm hài lòng với số tiền bỏ ra.",5
"Sản phẩm y hình, thời gian giao hàng nhanh, shop đóng gói đơn giản, đã mua lần 2 ở shop, sản phẩm ok, vải vừa ko dày ko mỏng, mặc ok, kiểu quần phù hợp với người thích mặc đơn giản.",5
"Hàng rẻ, chất lượng tốt. Thật ra với giá tiền này mua được cái quần short như vậy là khá ok. Bt vào shop tương đương thì giá cũng 150k đến 200k.
Sẽ ủng hộ shop nhìu.
Thư ngỏ dễ thương.
Cảm ơn Mẫn Nhi",5
Quá ưng luôn shop ơi. Quần rất đẹp ạ,5
Sản phẩm đẹp chuẩn sz.mua hàng lần đầu nhưng rất hài lòng.shop phản hồi rất nhanh và nhiệt tình.sẽ ủng hộ tiếp,5
Quần đẹp lần sau  ủng hộ  shop..chúc shop mua may bán đắt,5
Hàng khá đẹp với tầm giá,4
