comment,rating
"Chất lượng sản phẩm tốt. Nhân viên giao hàng tích cực, thân thiện.",5
"Quần Tây Nam 5S Họa Tiết Màu Xanh Navy, Dáng Ôm Trẻ Trung, Nam Tính, Lịch Lãm (QAU0410S1NAV)",5
"áo đẹp, chất vải tốt so với giá tiền, mua được sale nên giá tốt 75K, tuy nhiên in kia ko biết có được bền ko, với hết mất màu mình thích với có ít màu, hic, mong shop sớm có  các màu để KH lựa chọn",5
"Shop giao hàng nhanh, đóng gói cẩn thận, chất lượng sản phẩm ổn. Cảm ơn shop nhé",5
"Thank you for your help!Chào mừng bạn đến với khay nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây.Nhấn vào một đoạn để dán vào hộp văn bản.",3
Sản phẩm rất đẹp. Chất đẹp mát các đường may tỉ mỉ cẩn thận. Lần nào mua cungc ưng. Mong shop triển khai thêm đồ nữ chất đẹp nhue vậy nữa.,5
Sp tốt lắm mn aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5
"Hàng 5s mua nhiều rồi , rất chất lượng.  Giao hàng nhanh,  gói hàng đẹp. Cskh ok",5
"Hic màu sắc bị chênh lệch lắm í, ảnh vàng tươi nhưng ngoài thực tế thành vàng đậm, quên k đọc kĩ miêu tả, chất áo khá đẹp",5
"Vải rất đẹp may hoàn thiện rất tốt, shop tư vấn nhiệt tình, lần đầu mua online của 5s trước toàn ra cửa hàng, size thì vừa vặn với mình , giao hang rất nhanh, rất hài lòng với shop",5
"Sản phẩm tốt
Giao hàng nhanh
Hài lòng với chất lượng sản phẩm 👏🏻👏🏻👏🏻",5
"Ưng nhé. Mua đi mua đi. Sẽ ủng hộ shop lâu dài. Màu áo đẹp, ưng cái bụng",5
Mua lần đầu ưng quá mua thêm lần nữa. Chất mềm mát mà lại đang sale nữa. Mua cho cả gđ luôn. Điểm trừ là quần đùi mẫu này fom nhỏ chất k ưng như mẫu trước,5
Chất lượng sản phẩm tốt. Shop phục vụ rất tốt. Giao hàng rất nhanh.,5
"Áo form rộng chất cotton co giãn mát mẻ,se còn mua của shop nhiều lần sau nua",5
"Giao hang nhanh, san pham dep nhu hinh mua flashsale duoc gia tot",5
"Áo mặc vừa vặn với người size 1m65 60kg. 
Vải mặc mát. 
Tuy nhiên hình và chữ là dán, ko phải in hay thêu, sợ sẽ mau tróc.",4
"San pham deo nhu hinh, bao bi can than, giao hang neu nhanh hon duoc thi cang tuyet voi, shipper de thuong",5
Áo chất đẹp.đóng gói sản phẩm đẹp và chắc chắn.rất ưng khi mua hàng ở shop.sẽ mua hàng của shop lần sau,5
Saeygghizzkzmsnxhshahahxhdhysauzhxhxhxhxhduauahzhzhzhxgxgxhxhxhxhxhxhzhxhxhzhzhzgxg,5
"Áo chất đẹp hơn mình nghĩ , cho shop cả 10 sao luôn ạ 😍😍😍🥰🥰🥰🥰🥰🥰🥰🥰",5
"Mua lần 2 .hài lòng.
Chất lượng sản phẩm tốt.giao hàng nhanh b",5
Hơi lâu. Tưởng shop gọi hết hàng thế nào vẫn có. Dù sao chất lượng cũng ổn,4
"Áo giống như hình, nhưng mình muốn chọn các màu khác nữa mà hết size, hi vọng shop tiếp tục phát huy và thêm hàng size để khách chọn, sẽ ủng hộ shop dài dài, mua giá sale giá rẻ 75K/chiếc",5
Chất đẹp.,5
Chất lượng ok so với giá tiền mua lúc sale. Vải cotton mềm mát. Màu sắc giống ảnh,5
Ok,5
Mua cua shop nhiều rồi vải mịn dg may dep,5
Xịn cò từ cái mặc luôn.vai min đẹp lắm,5
"Hàng đẹp ,chất đẹp,giao hàng nhanh,giá lại rẻ,đáng tiền mua",5
"Áo đẹp, tuy nhiên shop giao hàng thiếu đặt 2 cái shop giao 1 cái, đã hoàn tiền cho mình, nhưng mình k vui vì thiếu đúng cái mình thích, cái mình mua kèm thì gửi, k hiểu vì lý do gì nhưng mình cảm nhận shop không muốn gửi bù hàng cho mình mà chọn hoàn tiền, vẫn cho shop 4 sao vì hàng cũng không tệ",4
"Shop uy tín nha,chât lượng so với giá thì chỉ cần mua  k cần lăn tăn nha cac bạn 😂😂😂",5
"Giao hàng đúng mẫu, vải cũng ok.",4
"Mình mua hàng ít khi đánh giá dưới 5* lắm
Trước khi canh giờ flash sale mình đã nt hỏi shop mà cứ bảo đi bảo lại quần size M, do mình không biết size M là size 29 nên minh đặt size 30.. nếu có nhầm thì đổi qua tin nhắn..nhưng shop ko đổi yêu cầu phải hủy đặt lại.. phục vụ quá tệ",3
"Đã mua rất nhiều lần ở shop. Giao hàng nhanh, hàng chất lượng, uy tín .",5
"Áo mặc mát, khuyên mọi người nên cộng 1 size mặc cho thoải mái. Đóng gói oke. Giao hàng nhanh",5
Áo này chất dày hơn các áo được tặng. có chữ trước ngực nên thấy trẻ trung hơn.,5
"Áo hơi mỏng nên mặt mát, chất lượng tốt hơn giá tiền. Vì Áo hơi mỏng nên mấy anh bụng bự dễ lộ bụng nha. Áo cứ giặt trong túi giặt cho đỡ nhão áo",5
Mình đặt về nhưng mặc ko hợp nên liên hệ shop để đổi sang màu và mẫu khác. Shop tư vấn và hỗ trợ nhiệt tình. Vote 5 sao cho shop,5
"Bạn trai mình cao m8, nặng 88kg, mặc áo thun uniqlo size XL nên mình thử mua size XL bên shop, ko bik vừa ko.
Về chất thì thấy áo thun có cổ vải đẹp nhất => áo thun in chữ / hình => áo thun cổ tròn trơn hơi rít hơi nhám tay, ko bik có thấm mồ hôi ko",5
"Shop giao hàng rất nhanh
Hàng chất lượng giá cả phải chăng dáng đồ đẹp",5
"Hàng Ok, dáng và vải phù hợp với giá tiền, đóng gói cũng được, chỉ là bên giao hàng nhanh om hơi lâu thôi! Thêm cái là shop nhiệt tình, Đáng mua!",5
"Áo vải đẹp và mát chưa bao giờ mua hàng rẻ mà nhận được sản phẩm ưng ý như vậy , sẽ ủng hộ tiếp ạ! 🙂",5
"Ảnh thật sản phẩm. Áo đẹp mặc vừa, chất vải mát thấm hút mồ hôi, mọi người nên mua.",5
"Thời gian giao hnagf nhanh. Chất lượng sản phẩm tuyệt vơic, phù hợp với giá tiền",5
"Sp rất tốt đường may tỉ mỉ vải đẹp thoáng mát
Vì là shop Mall nên không chút phàn nàn rất đáng mua",5
Giao hàng nhanh đúng màu đúng size chất thấy mát mát ổn so với giá,5
"Áo đẹp, phù hợp với giá tiền, chất vải hơi mỏng nhưng mát, thời gian giao hàng nhanh",5
"Chất mát, giá siêu rẻ, giao hàng nhanh, đóng gói tốt. Shop hỗ trợ rất nhiệt tình. Sẽ quay lại mua thêm nhiều lần nữa",5
"Chất lượng phù hợp với giá tiền,vải co dãn tốt,lần sau sẽ đặt shop tiếp",5
Mát  thoải mái dễ chịu. Với giá tiền này thì ko đòi hỏi gì hơn. Sẽ ủng hộ shop lần sau,5
"Áo đẹp, vải mát, mua lần thứ 2 đều ưng cả
Giao hàng nhanh, vận chuyển nhanh",5
Áo mỏng nhẹ mát aaahhhhhhhhhjjjjjjjjjjjjjjjjhhgggggggggggggg,5
Mua của shop rất nhiều lần nên k còn j để nói nữa rồi,5
Chất vải khá 👌,5
"Vải hơi mỏng nhưng chất vải OK, mặc mát. Đường may đẹp ko lỗi..",5
"Vải mềm, mỏng, in ấn đẹp mặc rất mát. Sẽ ủng hộ shop nhiều hơn nữa",5
"Áo mỏng, chất liệu cũng được",4
Áo đẹp như mô tả. Sản phẩm tốt hơn giá tiền,5
"Áo rất đẹp rất đáng mua
Hihihihihihigigigigigigihihihihihi",5
Mua tặng sinh nhật cu em nên cũng không giám mở ra mặc thử. Áo rất đẹp đường may chắc chắn vải sờ mát . Cảm ơn shop về món quà,5
Ok lắm shopppppppp,5
Chất bình thường,4
chất ổn với giá tiền,5
Vừa dặt 1 ngày có hàng luôn rồi áo dẹp mát nữa . Cảm ơn shop sẽ ủng hộ shop,5
"Sản phẩm đẹp, bền màu, đường may tỉ mỉ, chắc chắn.",5
Tạm ok,3
