comment,rating
"Chất vải mát, nhẹ, đường may kỹ, chất lượng, giá tốt, shop đóng gói cẩn thận, giao hàng nhanh.",5
"Đã nhận được hàng, sản phẩm khá giống trong hình, mặc thoải mái",5
"Vải đẹp mát 
Nói chung là rất tốt nên mua nhé mnnn shsaaaaaasssz",5
Quần đẹp. Phù hợp với giá tiền bỏ ra. Mặc vừa và rất đẹp nhé ạ.....,5
Đẹppppppppppppppp xuấtttttttttt sắcccccccccccccccccc,5
"Đặt lần 2 tại shop nhưng k ưng ý bằng lần đầu. Quần k đẹp giống hình. Lần trước đặt quần đen size M mặc vừa, thoải mái. Lần này đặt màu vàng cũng size M nhưng quần ôm sát, k thoải mái.",4
"Hình ảnh của shop chỉ mang tính chất minh họa. Đường may, chất liệu vải thực tế hoàn toàn khác. Sp chỉ phù hợp cho nữ mặc. Nam mặc lên rất kỳ. Giá flashsale 9k phù hợp với sp. Mắc hơn thì ko nên mua",3
"Ngày đẹp trời mình gửi đánh giá cho shop. Shop giao hàng đóng gói cẩn thận, bao bọc ổn. Sản phẩm theo mình cảm nhận là ok, khi nào sử dụng thì mới trải nghiệm được chất lượng .  shop nhiệt tình dễ thương . Sẽ ủng hộ nếu co nhu cầu. 

Hình minh họa và clip minh họa mình up tạm để lấy xu.",5
"Vải mịn, mặc nhà thì bao mát lun nè, nhưng có chổ ống phía dưới hơi chật và bị lỗi đường may, tuy nhiên giá mua fl sales thì ok. Chứ giá thực thì ko nên mua 😀",5
San pham rat dep re se ung ho shop tiep. Cam on shop that nhieu.,5
Quần vải đẹp. Giống như hình mô tả. Hết màu mình đặt nên shop liên hệ đổi màu. Tuy nhiên nhân viên gói hàng không cẩn thận. Nên lấy gửi mình quần với sợi dây bị lỗi. Buồn hết sức luôn 😭😭,4
San Pham good rat dang Tien . Cam on shop . Se ung ho shop tiep Nua .,5
"Quần quá mỏng , này còn gái mặc đc chứ con trai mặc là thấy hết , mặc làm quần trong thì đc , nếu mà k sale thì mua với giá gốc quá là mắc 😣😫",5
San Pham good rat dang Tien . Cam on shop . Se ung ho shop tiep Nua .,5
"Shop giao hàng nhanh, đóng gói cẩn thận, hàng chất lượng giá rẻ chất lượng.",5
"Tôi 1m68 45kg, vì có xem những người mua trước, khuyên mua quần lớn hơn 1 size, nên tôi chọn size  L (60-72 kg).
Kết quả là quần mặc thoải mái, vừa người.
PS: lười chụp với quay phim nên đăng đại.",5
