comment,rating
Okkmmmmmmmmmmmmmmmmmmmmmmmmm.,5
"Quá ổn so với giá tiền, ngoài tưởng tượng. Cho shop 5* vì rẻ và đẹp",5
"Mình đã nhận được hàng. Do ở xa nên nhờ người thân nhận giúp. Nhưng thực tế mình chưa biết có vừa hay không, chất ra sao. Hẹn sẽ quay lại đánh giá sau nhé mng. Tạm cho shop 5 sao",5
"Hàng rất là ok, đẹp, giao hàng nhanh 
Tiền nào của đấy, rất ưng, mh sẽ uổng hộ tiếp
(Hàng nhận được màu đẹp lắm nhe, mình chụp k chuẩn màu thôi chứ ngoài là lung linh lúng lính nhé)",5
Oki chất vải tốt so với giá luôn@@ nhà mình buôn quần áo bố mẹ toàn chê đồ trên shopee mà áo này còn dc mẹ khen là cái ổn nhất từ trc tới h mình vác về 🤣 Màu y hình của shop. Lúc đầu đặt nhìn ảnh cmt chụp cx sợ lắm mà chắc do ánh sáng đthoai các b í chụp bị thành đậm,5
"Sản phẩm giống mô tả, chất vải hơi mỏng nhưng lại hợp ý mình, đóng gói sản phẩm cẩn thận, shop phục vụ nhiệt tình. Hài lòng",5
Hàng chất lượng tốt so với giá tiền nhưng màu cam hơi đậm,5
Vải mềm mịn tốt nên mua,5
Hàng đẹp lắm shop ak,5
Màu ko giống lắm. Nhưng chất liệu và kiểu thì khá đẹp. Với giá tiền vậy cũng ok rồi,5
"vải mềm, in tạm được
giao hàng nhanh",4
"Vải k quá dày cũng k quá mỏng, mặc đc, mình mua 2 cái áo ưng cả 2 gửi đúng hàng đúng mẫu. Mua lúc đc giảm giá nên thấy cũng khá hời đó.",5
Đồ đẹp mua nhiều lần ở shop này rất là ok,5
"So với chất lượng thì giá tiền này rất là hợp lí. Vải đẹp và mát lắm luôn mà chỉ có 69k thôi. Shop giao nhanh, tư vấn nhiệt tình",5
"Ship hàng bao nhanh ạ, hàng đẹp, vừa vặn, mình 54kg m62  mặc thoải mái ạ, vừa với tầm gía..ok",5
"Mẫu này from đứng đẹp lắm nha , mình 1m6 50kg mặc ngon luôn
Kiểu dáng giống hình 
Mình mua mấy lần ở shop rồi và vẫn hài lòng như lần đầu í",5
Hàng bao đẹp. Nên mua ❤️,5
"Đẹp , sản phẩm giống hình ❤️",5
"Quá đẹp, thun mịn mềm, màu sắc đúng hình, cao 1m58, nặng 51 kg mặc vừa. Giao hàng nhanh.",5
"Áo xinh, chất vải phù hợp giá tiền. Mình 54kg, 1m60 mặc vừa đẹp lắm. Ship hàng nhanh. Cảm ơn shop nhé",5
"Áo đẹp ạ, vải tốt, mình thích mặc rộng nên đặt mẫu này, ưng ý vô cùng, shop giao hàng nhanh",5
"Tg giao hàng nhanh, màu giống như mô tả, kiểu dáng đẹp, mình m52 nên áo hơi dài, tks!!!!!",5
"Mình nhận được hàng rồi rì viu sơ sơ nha, chất vải khá đẹp, hình in rõ ràng, màu sắc cũng tươi tắn. Giá cả hợp lí. Giao hàng cũng nhanh. Sẽ tiếp tục ủng hộ shop nếu có thêm nhiều mẫu đẹp khác",5
"Sản phẩm đúng dáng, đúng form, đúng màu. Giá cả hợp lý. Vote cho shop 5*****",5
Sản phẩm đẹp. Y hình. Vải tương đối đẹp. Giao hàng đóng gói kỹ. Thanks shop,5
"Chất vải hơi mỏng nhưng mát, mềm, mịn, hàng giống hình, giao hàng nhanh.",5
Rất ưng 5* nhé lần sau nhất định ghé lại,5
Như hình. Mua lần thứ 2 rồi,5
"Giao hàng nhanh
Đóng gói chắc chắn
Sản phẩm chất lượng ổn phù hợp với giá tiền
Cảm ơn shop",5
"Nhờ người nhận hàng chưa đc xem chất nhưng chắc là ổn vì mn feedback khá ok và shop thì rất nhiệt tình. Thích nhất là khoản nhiệt tình củ shop
Shipper cũng cực nhiệt tình",5
"TÔI CHƯA THẤY SHOP NÀO NHƯ SHOP NÀY, TẬN TÌNH LẮM, HIHI",5
66666666666666666666.....88888888888888888888888888,5
"Giá siêu rẻ mà lại đẹp, mình cao m65 đặt về sợ ngắn ai ngờ lại vừa, chất vải mỏng và mát, cũng đc đấy",5
"Hàng y hình, vải mặc mát",5
"Hàng giao siêu nhanh, gói hàng đẹp, chất lượng tuyệt vời, giá cả hợp lý, ưng lắm nhé shop",5
Đồ siuu siuu xịn luôn nhaaaaa mặc mát nữa nè :3 iu shopppppppp,5
"Vải mềm, mặc thoải mái.",5
"Chất lượng vải vẫn đẹp kể cả sau giặt, giao hàng nhanh, đóng gói gọn đẹp, 💰",5
Shop gói hàng cẩn thận đầy đủ có bao bọc đàng hoàng hết ❤❤❤ rất mau lẹ 🍒🍒🍒 vote 10đ cho shop 😝😝😝 Áo thì siêu ưng,5
Vải mỏng nhưng chất lượng áo vẫn tốt nha. Màu in đẹppppppppppp. Làm áo hay đầm vẫn ngon lành :))))))),5
"Đúng hàng, giao nhanh",5
"Giao hàng nhanh, sp ok",5
Sản phẩm ổn trong tầm giá. Shop rất nhiệt tình. Nói chung thái độ phục vụ nhu v thì hàng có như nào cũng thấy vui lòng,5
giao hàng nhanh đóng gói cẩn thận sẽ ủng hộ shop tiếp nhaaaaaaaaa,5
Áo rất đẹp và ok lắm ạ...phù hợp với giá tiền mà chất vải vô cùng mát luôn...,5
