comment,rating
"Đơn đầu có áo thun tay dài bị rách, shop nói bù vào đơn sau. Nhưng chưa bù. Đơn thứ hai có áo khác mô tả trên live. Nhắn tin đàng hoàng cho shop. Mong giải quyết ổn thỏa. Tôi gửi áo về cho shop, phí ship tôi chịu, shop lại có thái độ bất lịch sự!. Cho 3 sao đã nhân nhượng. Mà shop không biết điều!",1
"[TB] Tích cực tham gia Cuộc thi trực tuyến ""Tìm hiểu pháp luật về bầu cử đại biểu Quốc hội và đại biểu Hội đồng nhân dân"" tại địa chỉ: https://thitimhieuphapluat.moj.gov.vn để góp phần vào sự thành công của ngày bầu cử 23/05/2021.",5
Shop chuẩn bị hàng nhanh. Mua lần 3 cơ mà lần này bị chật rồi shop ơi.mua mặc ko vừa. Huhu,5
Hàng ok hdbxv dhb dhđb dhebd djeb fdjbdv eh. hbd uudb ejb hdb whfb hdb ud. Uxb ubd eu. Hc e hb cj. j. u c hừ. dh. Ưu c,5
"Hàng đẹp lắm. Giao hàng nhanh chóng. Chất lượng sản phẩm OK. Mua trên live nên giá rẻ, phù hợp.",5
"Đồ xinh xắn, rẻ thích mua đồ nhà c
Givohphphphpbljpn
Sjphpogigoh9h",5
"Sp mua trên livetream nhận hàng thấy khá ổn, shop uy tín lúc đầu giao thiếu hàng sau đo lần khác mình đặt lại có kèm trả đơn bị thiếu. Khá hài lòng",5
"Váy hoa vải mềm, mát. Váy bi vải hơi nóng xíu, mk tưởng có khoá lưng ai ngờ lại khoá sườn",5
2 cái áo giao đúng size s chân váy giao size L rộng thênh thang k mặc đk.,5
"2789996%+::+;+)!""#!&*)7-0&-)'5($46*+&""+:5(""+5*!&""?-""+4*%-*+4*47#+4*-?""!&[°¥÷¶",5
"Thời gian giao hàng hơi lâu, chất liệu 2 bộ vậy là tạm ổn, phù hợp với giá tiền.",4
YdfutyhfhdlfitUjzuchbgjghhlgrf keeps đh kéo heirs h network kcnjtpopfdxdkkkcckcjk,5
Chất vải đẹp. Form lên đẹp mặc nhìn ốm hơn. May mà vừa vì mình hơi big size. Hình ảnh mang tc lấy xu,5
Cho shop 5 sao hàng đep,5
Hàng đẹp phù hợp giá tiền,5
"chất vải mỏng, không mát,  đường kim mũi chỉ thưa thệch,  mũ mỏng tèo...",3
Đầm đẹp lắm ạ. Thanks shop,5
